legajo,nombre,apellido,email,genero,nota_1p,nota_2p,nota_final,nivel,instructor
319,Ab,Underwood,aunderwood8u@ask.com,2,8.57,9.28,,1,18
320,Brandice,Fenna,bfenna8v@squidoo.com,1,9.81,09.07,2.35,4,5
321,Giorgio,Hansemann,ghansemann8w@weibo.com,2,03.07,3.25,1.58,1,8
322,Hamid,Delieu,hdelieu8x@dmoz.org,2,5.23,9.82,7.89,3,10
323,Bobby,Seear,bseear8y@buzzfeed.com,2,2.44,6.31,01.07,1,13
324,Frances,Lathwood,flathwood8z@themeforest.net,1,8.34,7.50,,1,8
325,Brianne,Helsby,bhelsby90@google.com,1,7.81,2.45,5.78,3,2
326,Arlyne,Brailey,abrailey91@dropbox.com,1,6.72,1.78,7.67,4,9
327,Sibley,Corre,scorre92@flavors.me,1,5.11,7.91,5.32,1,4
328,Wolf,Fillary,wfillary93@aboutads.info,6,3.26,9.66,4.27,2,9
329,Demott,MacGuffie,dmacguffie94@columbia.edu,3,9.82,04.09,4.79,2,6
330,Chalmers,Rigmond,crigmond95@cmu.edu,2,3.64,5.18,3.80,5,7
331,Asher,Adolfsen,aadolfsen96@wisc.edu,2,3.99,09.01,5.33,4,10
332,Lammond,Willmett,lwillmett97@tripod.com,2,9.44,5.42,,1,12
333,Em,Drowsfield,edrowsfield98@theatlantic.com,1,1.32,6.87,3.66,4,7
334,Huey,Cowling,hcowling99@tumblr.com,2,6.28,5.47,04.01,3,18
335,Colleen,Rodenburg,crodenburg9a@disqus.com,1,9.32,3.88,5.53,2,19
336,Erastus,Cohalan,ecohalan9b@exblog.jp,2,6.70,3.21,6.93,3,14
337,Ilario,Treswell,itreswell9c@mapy.cz,2,7.47,2.74,,2,8
338,Gaye,Hazard,ghazard9d@jimdo.com,1,7.82,3.65,2.20,1,3
339,Dallon,Clubley,dclubley9e@phoca.cz,2,3.53,06.09,,5,9
340,Burt,Izzatt,bizzatt9f@wired.com,2,1.88,05.04,8.19,4,12
341,Emmeline,Fulcher,efulcher9g@wikipedia.org,1,4.72,3.95,3.97,5,2
342,Melita,Skittrall,mskittrall9h@economist.com,1,3.53,2.56,2.48,3,19
343,Rebekkah,Cornell,rcornell9i@bing.com,1,5.80,2.72,2.77,2,4
344,Rafi,Krochmann,rkrochmann9j@ebay.co.uk,5,03.04,3.74,08.06,2,11
345,Zenia,Pollastro,zpollastro9k@weebly.com,8,3.83,1.94,3.86,4,5
346,Boone,Heistermann,bheistermann9l@berkeley.edu,2,3.12,3.69,4.58,5,6
347,Charissa,Lodemann,clodemann9m@washington.edu,1,3.57,6.87,08.06,5,7
348,Wynnie,Follit,wfollit9n@cafepress.com,1,6.73,1.68,7.82,5,1
349,Breena,Pellissier,bpellissier9o@whitehouse.gov,1,4.52,3.80,1.17,4,16
350,Gray,Pryde,gpryde9p@is.gd,1,8.35,6.51,9.19,1,17
351,Aila,Picknett,apicknett9q@businesswire.com,1,4.81,3.00,08.08,5,2
352,Raffaello,Maginot,rmaginot9r@wordpress.com,2,7.62,7.16,8.57,1,16
353,Riva,Tinman,rtinman9s@ycombinator.com,1,02.04,2.61,,1,12
354,Joana,Hogbourne,jhogbourne9t@123-reg.co.uk,1,8.39,7.10,,2,14
355,Shoshana,McDade,smcdade9u@netscape.com,1,04.04,1.86,4.38,5,10
356,Cristy,Dewhurst,cdewhurst9v@tripadvisor.com,1,6.59,3.67,,2,6
357,Patric,Liepmann,pliepmann9w@smh.com.au,2,5.77,4.13,1.77,4,15
358,Tarrah,Smalles,tsmalles9x@360.cn,1,3.37,8.14,6.83,2,17
359,Angelita,Arbor,aarbor9y@paginegialle.it,1,8.70,02.06,8.34,1,20
360,Emeline,Eardley,eeardley9z@alibaba.com,1,1.41,7.71,4.46,1,6
361,Kiele,Sainsbury,ksainsburya0@nih.gov,1,2.35,5.87,4.42,4,9
362,Prudy,Antrack,pantracka1@usgs.gov,1,05.04,7.97,8.45,3,2
363,Neille,Truelock,ntruelocka2@bluehost.com,1,3.65,9.62,3.83,4,15
364,Gualterio,Tippell,gtippella3@state.tx.us,2,3.97,7.55,7.65,2,16
365,Riccardo,Diben,rdibena4@sohu.com,2,9.19,1.86,09.02,4,1
366,Zola,Trattles,ztrattlesa5@addtoany.com,1,4.38,9.84,5.77,3,5
367,Dorita,Anyon,danyona6@nytimes.com,1,1.57,1.23,,4,17
368,Franklyn,Sykora,fsykoraa7@sciencedaily.com,2,5.77,9.57,5.73,3,17
369,Susannah,Comsty,scomstya8@businessinsider.com,1,9.55,4.39,2.24,1,8
370,Spense,Tomes,stomesa9@posterous.com,2,8.41,6.97,7.27,5,10
371,Beret,Blazi,bblaziaa@oakley.com,7,6.46,8.82,,2,16
372,Devora,Robert,drobertab@eventbrite.com,1,2.67,2.70,,2,11
373,Almire,Clementet,aclementetac@pen.io,1,3.35,5.33,1.49,2,12
374,Leigh,Ingliss,linglissad@bluehost.com,2,9.12,7.00,09.08,5,20
375,Elton,Ewert,eewertae@usda.gov,2,2.42,6.86,8.53,1,8
376,Kearney,Crace,kcraceaf@deliciousdays.com,2,9.75,6.32,5.52,5,16
377,Fonz,Wolfarth,fwolfarthag@patch.com,2,1.14,7.56,,1,17
378,Tiffani,Ludman,tludmanah@businessweek.com,1,2.39,08.05,,5,9
379,Kipper,Muselli,kmuselliai@baidu.com,2,2.62,2.56,1.54,2,3
380,Giusto,Hardistry,ghardistryaj@sitemeter.com,2,01.04,2.74,02.08,4,9
381,Nero,Blackwood,nblackwoodak@instagram.com,2,6.79,3.83,5.36,2,10
382,Any,Caldero,acalderoal@oracle.com,2,9.29,2.57,6.29,2,2
383,Elaina,Fleming,eflemingam@wikia.com,1,8.40,5.39,07.01,1,17
384,Isa,Shotter,ishotteran@microsoft.com,3,8.33,1.66,6.76,5,9
385,Beilul,Knapp,bknappao@accuweather.com,1,4.30,8.56,7.86,1,10
386,Budd,Branca,bbrancaap@hp.com,2,1.12,7.49,8.27,2,13
387,Cristie,Cosley,ccosleyaq@census.gov,1,2.85,3.97,8.98,5,9
388,Antonie,Birtwhistle,abirtwhistlear@hhs.gov,1,8.80,2.68,02.03,2,2
389,Cassondra,Bryan,cbryanas@google.co.jp,1,5.52,1.38,4.22,1,18
390,Crissy,Brookzie,cbrookzieat@yelp.com,1,1.79,7.53,,5,16
391,Bogart,Varndell,bvarndellau@csmonitor.com,2,5.21,3.31,2.49,3,20
392,Minnie,Shelper,mshelperav@zdnet.com,1,5.93,7.48,,4,18
393,Vidovik,Simkovich,vsimkovichaw@gmpg.org,2,01.09,4.43,2.47,4,14
394,Falito,Tappin,ftappinax@forbes.com,2,5.19,3.85,1.56,3,5
395,Koressa,Frediani,kfredianiay@yellowpages.com,1,3.57,5.48,3.74,5,7
396,Lucian,Danilevich,ldanilevichaz@1und1.de,2,8.39,9.72,6.16,5,1
397,Christy,Troke,ctrokeb0@uol.com.br,1,2.50,4.88,6.83,5,9
398,Diann,Graith,dgraithb1@bizjournals.com,1,7.25,7.57,4.71,5,8
399,Erwin,Gwyer,egwyerb2@mozilla.org,2,6.34,2.10,5.27,5,11
400,Conrad,Irving,cirvingb3@pen.io,2,9.55,01.09,,3,5
401,Charita,Danihelka,cdanihelkab4@a8.net,1,8.85,2.11,3.63,4,9
402,Kippy,Lambird,klambirdb5@springer.com,1,4.70,9.90,8.17,4,7
403,Ray,Dorrity,rdorrityb6@salon.com,3,5.39,6.42,,1,14
404,Moe,Robathon,mrobathonb7@umn.edu,2,4.67,4.37,5.61,2,15
405,Hastings,Olohan,holohanb8@mozilla.com,2,7.75,1.75,,3,10
406,Saunderson,Padell,spadellb9@globo.com,2,4.57,7.46,8.25,2,10
407,Gonzales,Tomasello,gtomaselloba@51.la,2,07.09,4.70,4.70,5,10
408,Berny,Gallatly,bgallatlybb@china.com.cn,2,9.46,8.72,,5,7
409,Maye,Dafter,mdafterbc@who.int,1,8.41,8.75,,2,19
410,Chiquia,Todhunter,ctodhunterbd@reverbnation.com,1,3.95,09.01,9.66,1,3
411,Ainslee,Doherty,adohertybe@msu.edu,7,4.85,2.36,7.56,3,14
412,Husein,Durtnall,hdurtnallbf@zimbio.com,2,7.47,8.40,9.27,1,11
413,Stanfield,Espinoza,sespinozabg@npr.org,8,7.86,5.57,3.87,1,17
414,Eldredge,Pateman,epatemanbh@acquirethisname.com,2,9.68,05.02,,5,11
415,Mandi,Moles,mmolesbi@de.vu,1,03.03,8.16,,5,10
416,Giselle,Emby,gembybj@abc.net.au,1,8.60,8.15,2.58,4,1
417,Nicolais,Clardge,nclardgebk@uiuc.edu,2,3.68,5.95,5.74,1,9
418,Wheeler,Glide,wglidebl@mail.ru,2,8.59,1.97,3.44,3,18
419,Lorelei,Brotherhed,lbrotherhedbm@ebay.com,1,3.66,9.75,9.63,5,19
420,Randa,Caffrey,rcaffreybn@infoseek.co.jp,1,5.57,8.56,06.07,1,11
421,Kit,Oolahan,koolahanbo@photobucket.com,2,7.96,04.03,7.59,2,4
422,Willi,Sanson,wsansonbp@cnet.com,2,8.87,2.90,,2,6
423,Reynold,Yakutin,ryakutinbq@auda.org.au,3,2.10,1.52,6.17,3,20
424,Eudora,Shakspeare,eshakspearebr@sogou.com,1,3.66,9.73,6.16,4,19
425,Ilka,Klossek,iklossekbs@google.com,6,3.27,2.34,,2,4
426,Auberon,Tremain,atremainbt@dot.gov,6,9.69,4.65,7.70,3,14
427,Cinnamon,Rhelton,crheltonbu@acquirethisname.com,1,03.05,3.59,6.66,2,1
428,Derick,Dalliston,ddallistonbv@lulu.com,2,7.67,04.07,,5,17
429,Sonny,Vido,svidobw@salon.com,1,6.35,4.00,1.83,4,5
430,Danella,Gribbon,dgribbonbx@youku.com,1,1.28,8.64,,2,8
431,Lester,Domenicone,ldomeniconeby@ibm.com,2,9.64,1.15,5.89,5,3
432,Bondon,O'Spillane,bospillanebz@hubpages.com,2,2.39,2.53,6.79,5,19
433,Zonda,Pach,zpachc0@spotify.com,1,8.84,4.35,6.68,3,10
434,Valeda,Mc Gaughey,vmcgaugheyc1@businessweek.com,1,2.71,4.69,1.13,2,12
435,Penn,Crain,pcrainc2@google.ru,7,8.36,3.39,,4,9
436,Robby,Harry,rharryc3@netscape.com,2,3.84,6.56,4.29,3,8
437,Roseanne,Heinecke,rheineckec4@si.edu,6,2.62,7.20,,1,4
438,Grete,Dumphy,gdumphyc5@shop-pro.jp,1,9.93,2.50,,2,6
439,Cris,Shwenn,cshwennc6@kickstarter.com,2,9.63,4.68,8.63,4,7
440,Raul,Speenden,rspeendenc7@over-blog.com,2,8.30,1.33,4.64,1,18
441,Marley,Knottley,mknottleyc8@disqus.com,1,6.36,3.97,3.51,2,1
442,Marge,Dun,mdunc9@friendfeed.com,1,3.36,5.99,6.78,4,4
443,Madeleine,Farnworth,mfarnworthca@hc360.com,1,9.96,9.32,1.76,1,6
444,Cacilie,Dabbs,cdabbscb@blogtalkradio.com,1,9.76,4.43,9.30,5,17
445,Siouxie,Bachura,sbachuracc@statcounter.com,6,8.94,5.85,3.21,2,8
446,Lenette,Arlow,larlowcd@disqus.com,1,2.69,8.67,8.67,1,1
447,Agnella,McIlrath,amcilrathce@simplemachines.org,1,1.50,3.87,8.25,5,4
448,Belicia,Shorthouse,bshorthousecf@edublogs.org,1,3.68,4.28,1.25,2,16
449,Eleanor,Naerup,enaerupcg@reference.com,1,3.00,9.87,9.85,4,2
450,Alejandro,Blasoni,ablasonich@unblog.fr,2,4.29,1.61,8.50,1,20
451,Rhianna,Yude,ryudeci@livejournal.com,1,1.10,2.37,,2,13
452,Jemmy,Currom,jcurromcj@npr.org,1,1.18,9.55,1.82,5,6
453,Stephen,Peter,speterck@opera.com,2,1.76,9.94,1.29,4,1
454,Mame,Gosson,mgossoncl@netlog.com,1,3.65,3.27,04.02,1,12
455,Lorianne,Gerrell,lgerrellcm@reddit.com,8,4.91,4.41,1.81,1,19
456,Doroteya,Knightley,dknightleycn@sitemeter.com,1,8.27,7.52,,4,9
457,Tiffani,Bullan,tbullanco@dagondesign.com,1,8.48,4.32,2.70,1,11
458,Jess,Danielsky,jdanielskycp@cmu.edu,3,2.30,6.68,,4,20
459,Hurley,Featenby,hfeatenbycq@github.com,2,5.46,5.58,3.62,5,13
460,Norry,Brenard,nbrenardcr@acquirethisname.com,1,4.30,07.01,3.62,4,7
461,Yolande,Cockhill,ycockhillcs@taobao.com,1,3.29,6.89,6.29,1,8
462,Alick,MacClinton,amacclintonct@weibo.com,2,6.38,2.96,,4,16
463,Lauren,Sabbins,lsabbinscu@cisco.com,2,3.11,7.86,,5,18
464,Fiorenze,Fourman,ffourmancv@marriott.com,1,3.30,08.04,5.46,2,12
465,Faydra,Dakers,fdakerscw@princeton.edu,8,1.50,4.40,6.29,5,2
466,Cristy,Havercroft,chavercroftcx@eventbrite.com,1,5.56,03.02,9.58,3,15
467,Faye,Dundon,fdundoncy@cbslocal.com,1,9.25,2.19,3.24,4,3
468,Erwin,Moses,emosescz@dailymotion.com,2,5.97,6.87,,3,7
469,Keelia,Menego,kmenegod0@dion.ne.jp,1,5.55,8.13,8.37,4,6
470,Aurelie,Bendare,abendared1@phoca.cz,1,6.16,2.83,,3,19
471,Carlos,Dougary,cdougaryd2@digg.com,2,6.26,09.05,7.45,5,17
472,Blisse,Whyatt,bwhyattd3@gnu.org,1,5.56,5.21,4.73,3,7
473,Vanna,Duckels,vduckelsd4@china.com.cn,1,03.01,6.55,2.72,5,20
474,Sianna,Durnford,sdurnfordd5@macromedia.com,1,8.23,2.94,8.12,2,15
475,Corby,Thiolier,cthiolierd6@berkeley.edu,2,7.89,2.10,01.07,5,18
476,Pier,Brand,pbrandd7@bandcamp.com,1,05.09,3.82,,5,16
477,Feodora,Rumble,frumbled8@dailymail.co.uk,1,3.85,3.21,6.38,3,5
478,Karylin,Vynoll,kvynolld9@skyrock.com,1,4.43,6.78,6.50,5,8
479,Jodie,Servante,jservanteda@mtv.com,2,6.37,06.01,,2,18
480,Gerianna,Morphey,gmorpheydb@domainmarket.com,1,9.41,04.01,3.81,4,4
481,Francine,Crocken,fcrockendc@icq.com,1,4.93,5.94,7.60,2,13
482,Alix,Warriner,awarrinerdd@discuz.net,1,8.29,3.56,1.36,5,7
483,Ede,Ryves,eryvesde@gizmodo.com,1,05.01,2.56,9.51,4,8
484,Cyndia,Huggett,chuggettdf@goo.gl,1,7.34,3.94,01.02,4,8
485,Simona,Castell,scastelldg@booking.com,1,5.45,7.33,5.58,2,4
486,Cicely,Calam,ccalamdh@mtv.com,1,1.98,6.27,1.36,5,4
487,Ronny,Shuard,rshuarddi@ibm.com,1,3.96,8.53,7.50,4,16
488,Jeth,Parks,jparksdj@deviantart.com,2,7.24,9.99,03.09,1,19
489,Paten,Edens,pedensdk@vinaora.com,2,7.92,4.84,6.13,5,7
490,Aubrey,Lemerle,alemerledl@amazon.co.jp,1,5.92,8.24,6.84,3,1
491,Curtice,Desouza,cdesouzadm@ucsd.edu,2,7.64,7.45,,3,18
492,Isidor,Shopcott,ishopcottdn@kickstarter.com,2,8.41,08.08,,3,15
493,Shandeigh,Jerrim,sjerrimdo@yahoo.com,1,7.43,1.14,,1,12
494,Irene,Yong,iyongdp@amazon.com,1,9.54,4.19,9.74,3,7
495,Cate,Chalfont,cchalfontdq@twitpic.com,1,2.90,8.15,,2,5
496,Andrey,Glassup,aglassupdr@apple.com,2,7.12,3.39,3.19,5,18
497,Rowney,Pring,rpringds@samsung.com,2,7.81,4.85,7.35,5,1
498,Corty,Lishman,clishmandt@si.edu,2,4.43,1.84,,1,12
499,Millie,Catterson,mcattersondu@live.com,1,7.77,9.68,4.41,3,9
500,Brion,Gilardoni,bgilardonidv@harvard.edu,2,05.05,4.65,4.52,4,19
501,Lark,Fellgett,lfellgettdw@mac.com,4,4.55,2.82,4.55,5,15
502,Seamus,Girardeau,sgirardeaudx@a8.net,2,2.29,9.34,9.14,5,11
503,Abdel,Bools,aboolsdy@blogger.com,5,4.51,3.28,3.83,2,19
504,Melonie,Jezzard,mjezzarddz@slideshare.net,1,6.56,9.59,8.60,2,17
505,Hewitt,Creamer,hcreamere0@etsy.com,2,2.52,2.63,6.78,5,4
506,Carlotta,Stickells,cstickellse1@tamu.edu,1,6.40,2.61,7.89,3,6
507,Pavia,Spurgin,pspurgine2@constantcontact.com,1,6.57,1.35,,1,14
508,Dennison,Peracco,dperaccoe3@slashdot.org,2,5.31,6.68,8.47,3,2
509,Emmet,Larkworthy,elarkworthye4@histats.com,2,4.87,1.31,3.65,2,15
510,Darla,Canellas,dcanellase5@state.tx.us,1,9.98,8.38,,5,5
511,Annice,Douce,adoucee6@diigo.com,1,5.61,1.56,,5,9
512,Sherwynd,Sharples,ssharplese7@disqus.com,2,5.93,6.68,3.26,5,20
513,Delly,Drewitt,ddrewitte8@com.com,7,8.64,4.75,5.60,4,10
514,Eldin,Denisyev,edenisyeve9@go.com,2,3.96,2.98,7.94,4,1
515,Belita,Gimblett,bgimblettea@nifty.com,1,7.28,4.38,,2,17
516,Jessalyn,O'Grogane,jogroganeeb@newsvine.com,1,7.13,6.41,4.14,2,10
517,Lotti,Iggulden,ligguldenec@purevolume.com,5,6.69,6.69,9.76,1,11
518,Allyce,Guiton,aguitoned@japanpost.jp,1,7.92,07.08,5.29,4,14
519,Sibylle,Petracchi,spetracchiee@imageshack.us,1,09.08,2.86,2.33,2,3
520,Crissy,Harber,charberef@woothemes.com,1,08.02,4.82,7.40,2,9
521,Raychel,Capstaff,rcapstaffeg@wisc.edu,1,7.95,01.04,8.62,2,2
522,Shawnee,Simeoli,ssimeolieh@cmu.edu,1,2.89,3.72,8.93,4,11
523,Ruttger,Walshe,rwalsheei@nps.gov,2,9.64,8.44,3.87,4,9
524,Skip,Chrispin,schrispinej@ask.com,2,4.12,9.40,5.91,3,8
525,Colline,Vidloc,cvidlocek@ovh.net,1,01.08,4.61,1.12,1,18
526,Zebulon,Hasser,zhasserel@so-net.ne.jp,2,2.59,9.66,4.80,1,16
527,Nathalie,Hazel,nhazelem@artisteer.com,1,9.24,5.49,2.18,1,11
528,Sara-ann,Young,syoungen@bloomberg.com,1,01.05,8.87,07.08,5,6
529,Valeria,McPartlin,vmcpartlineo@uol.com.br,1,9.74,5.66,2.71,1,4
530,Dalis,Orpwood,dorpwoodep@google.nl,2,8.53,6.54,5.55,5,12
531,Araldo,Minelli,aminellieq@cnbc.com,2,3.86,09.03,9.17,3,17
532,Ganny,Hoodless,ghoodlesser@examiner.com,2,2.65,9.22,3.70,3,15
533,Dewey,Bordes,dbordeses@blogs.com,2,1.27,9.60,5.89,2,9
534,Dory,Brandes,dbrandeset@virginia.edu,2,6.54,5.78,07.03,5,16
535,Dona,Andre,dandreeu@va.gov,1,3.62,4.18,05.07,3,2
536,Jessie,Trott,jtrottev@globo.com,6,7.11,1.60,2.33,3,19
537,Willie,Biggans,wbiggansew@hatena.ne.jp,2,1.93,9.88,6.67,2,3
538,Zelda,Behrens,zbehrensex@salon.com,1,1.23,1.97,3.81,4,8
539,Reade,Ellerey,rellereyey@nhs.uk,2,01.02,9.19,2.56,2,16
540,Flossi,Warn,fwarnez@harvard.edu,1,05.02,4.76,2.36,2,2
541,Antoine,Baudy,abaudyf0@nature.com,2,6.91,8.90,1.82,5,17
542,Zebulon,Kochel,zkochelf1@wikia.com,2,1.18,8.51,,1,6
543,Bryon,Verecker,bvereckerf2@google.fr,4,7.85,03.01,1.31,4,8
544,Tam,Reese,treesef3@unblog.fr,2,3.83,3.55,01.05,4,3
545,Katleen,Poundesford,kpoundesfordf4@alexa.com,1,08.09,6.29,,2,9
546,Derwin,Tellett,dtellettf5@alexa.com,2,6.93,03.01,7.22,1,19
547,Burk,Sarra,bsarraf6@cmu.edu,2,6.81,3.89,4.59,5,5
548,Ardeen,Zealander,azealanderf7@mayoclinic.com,1,3.60,5.26,7.43,3,4
549,Tyson,Rodinger,trodingerf8@ezinearticles.com,2,9.21,6.60,01.07,1,4
550,Tiff,Roux,trouxf9@ft.com,4,1.26,2.37,4.45,5,18
551,Tallie,Case,tcasefa@uiuc.edu,2,02.05,9.16,3.81,3,18
552,Brady,Caven,bcavenfb@de.vu,2,2.30,3.33,2.67,4,7
553,Lorelle,Carayol,lcarayolfc@jimdo.com,1,1.12,4.96,3.51,5,18
554,Candide,Murcutt,cmurcuttfd@youku.com,1,8.39,5.16,3.37,5,7
555,Cello,Keslake,ckeslakefe@blogspot.com,3,1.12,8.92,2.35,1,8
556,Felita,Ahren,fahrenff@mlb.com,1,06.02,08.02,5.81,1,11
557,Elfreda,Mustin,emustinfg@163.com,1,2.77,9.20,4.23,4,13
558,Orbadiah,Rieme,oriemefh@salon.com,6,02.06,2.74,9.40,5,11
559,Berkly,Bavage,bbavagefi@dailymail.co.uk,2,5.35,6.72,1.52,1,15
560,Roanna,Cough,rcoughfj@com.com,1,7.78,6.23,2.16,3,10
561,Kathe,Abrahams,kabrahamsfk@omniture.com,1,9.18,6.72,7.93,4,5
562,Irita,Nerne,inernefl@miibeian.gov.cn,1,03.01,8.16,2.42,2,14
563,Gwennie,Messiter,gmessiterfm@mashable.com,3,6.82,7.00,,1,6
564,Lorine,Coverdale,lcoverdalefn@webeden.co.uk,1,3.54,06.06,6.82,2,1
565,Chaim,Marrill,cmarrillfo@cafepress.com,2,4.16,7.82,,1,9
566,Jojo,Zanneli,jzannelifp@dailymotion.com,1,2.72,3.19,2.77,1,3
567,Pierson,Frowing,pfrowingfq@wordpress.com,2,5.00,3.99,07.07,3,20
568,Arlen,Blaise,ablaisefr@netscape.com,2,4.58,2.51,9.81,3,15
569,Jereme,Shevels,jshevelsfs@cpanel.net,2,1.93,4.22,8.10,1,15
570,Eddi,Thorald,ethoraldft@taobao.com,4,5.47,5.97,7.11,3,1
571,Yasmin,Hunsworth,yhunsworthfu@utexas.edu,1,3.54,2.29,6.61,1,11
572,Loraine,Itzkovwitch,litzkovwitchfv@dion.ne.jp,1,09.04,3.43,2.25,2,2
573,Ashla,Faulder,afaulderfw@hatena.ne.jp,1,5.23,4.60,6.15,2,20
574,Kenn,Jakobsson,kjakobssonfx@alibaba.com,2,01.04,5.21,2.27,4,1
575,Kathryn,Asker,kaskerfy@pagesperso-orange.fr,1,6.51,5.47,2.25,4,1
576,Leonelle,Kimber,lkimberfz@microsoft.com,1,1.88,2.55,2.00,3,14
577,Binky,Littrell,blittrellg0@oracle.com,2,3.30,5.62,6.34,3,8
578,Gilburt,Peaker,gpeakerg1@liveinternet.ru,2,1.59,7.57,2.35,1,16
579,Kerri,Fidilis,kfidilisg2@geocities.com,3,8.27,8.78,8.39,4,6
580,Alwyn,Gabbott,agabbottg3@usgs.gov,2,5.11,1.76,4.36,2,9
581,Sharity,Sharvill,ssharvillg4@purevolume.com,1,8.81,8.35,08.09,4,6
582,Johanna,Purseglove,jpursegloveg5@huffingtonpost.com,1,2.57,9.14,07.02,4,6
583,Dorri,Nairn,dnairng6@adobe.com,1,8.81,4.53,,3,13
584,Blake,Uren,bureng7@slate.com,6,03.03,3.67,6.42,1,12
585,Myrtle,De Francesco,mdefrancescog8@yolasite.com,1,9.23,6.25,3.00,4,9
586,Eduardo,Naris,enarisg9@mlb.com,2,1.88,6.86,6.99,2,5
587,Willey,Duchesne,wduchesnega@twitter.com,2,5.91,7.87,,1,1
588,Sigismondo,Eliaz,seliazgb@furl.net,2,2.71,6.18,3.93,5,4
589,Isa,Seeley,iseeleygc@live.com,2,6.92,9.25,04.03,2,17
590,Jada,Mccaull,jmccaullgd@washingtonpost.com,1,9.85,3.81,,3,19
591,Willi,Janicek,wjanicekge@is.gd,2,09.06,4.20,6.79,5,10
592,Zaneta,Guiduzzi,zguiduzzigf@rambler.ru,3,08.05,5.86,2.59,1,10
593,Gaylord,Solomonides,gsolomonidesgg@eepurl.com,2,1.22,5.37,6.27,5,6
594,Dud,Jocelyn,djocelyngh@nasa.gov,3,5.50,4.68,5.36,1,17
595,Samuel,Rouzet,srouzetgi@goo.ne.jp,2,6.17,3.20,1.52,3,20
596,Hieronymus,Ife,hifegj@taobao.com,2,9.65,2.37,9.26,5,3
597,Davie,Vertey,dverteygk@pbs.org,2,3.18,4.48,3.72,2,6
598,Susette,Mulheron,smulherongl@soundcloud.com,1,5.50,4.52,9.69,4,6
599,Kendre,Ceaplen,kceaplengm@arstechnica.com,1,08.03,6.84,09.05,3,7
600,Nathalia,Mainland,nmainlandgn@netvibes.com,1,2.88,1.87,4.47,5,18
601,Stesha,St. Leger,sstlegergo@home.pl,1,2.69,4.65,4.16,4,20
602,Aloin,Cowton,acowtongp@histats.com,2,1.16,9.58,2.51,3,20
603,Durante,Courson,dcoursongq@spotify.com,2,06.05,4.89,6.82,5,10
604,Nicolea,Drabble,ndrabblegr@reverbnation.com,1,6.62,4.15,8.31,4,10
605,Kara-lynn,Duckerin,kduckerings@edublogs.org,4,07.09,4.40,7.46,1,18
606,Annabell,Garrow,agarrowgt@chron.com,1,04.02,1.69,9.81,1,5
607,Colver,Have,chavegu@a8.net,2,9.15,7.10,,2,15
608,Karlik,Mourge,kmourgegv@reuters.com,2,4.94,6.69,5.40,5,8
609,Tasha,Renac,trenacgw@wikipedia.org,1,7.16,2.64,9.38,3,20
610,West,O'Crigan,wocrigangx@baidu.com,2,1.33,3.46,,2,15
611,Rene,Rumford,rrumfordgy@craigslist.org,2,8.00,1.39,7.94,3,2
612,Sherlock,Rawlyns,srawlynsgz@craigslist.org,2,2.51,9.89,,5,8
613,Shane,Fluin,sfluinh0@toplist.cz,2,08.04,9.79,4.46,1,16
614,Cassie,M'Chirrie,cmchirrieh1@msn.com,1,9.39,5.52,7.18,5,16
615,Alfy,Shall,ashallh2@com.com,2,3.49,01.06,8.80,1,6
616,Floyd,Jandac,fjandach3@yahoo.co.jp,2,7.14,6.93,8.10,5,11
617,Darell,Tschirschky,dtschirschkyh4@squidoo.com,1,7.28,7.14,3.68,1,11
618,Cara,McMeyler,cmcmeylerh5@who.int,1,9.99,3.75,4.86,1,3
619,Casey,Aleevy,caleevyh6@amazon.com,2,5.29,5.77,3.12,4,14
620,Micki,Rhymes,mrhymesh7@umich.edu,1,8.41,08.02,9.52,2,8
621,Lon,Siveyer,lsiveyerh8@buzzfeed.com,2,6.77,6.47,9.33,3,17
622,Elva,Blant,eblanth9@odnoklassniki.ru,1,4.17,2.20,6.18,3,17
623,Lita,Rivenzon,lrivenzonha@ox.ac.uk,1,3.34,6.41,6.43,4,5
624,Hube,Di Giacomo,hdigiacomohb@goo.ne.jp,2,6.50,9.13,4.93,5,1
625,Sebastian,Joire,sjoirehc@pen.io,8,6.42,5.89,5.74,2,2
626,Lionel,Heselwood,lheselwoodhd@live.com,6,4.59,4.84,7.48,1,8
627,Tripp,Getty,tgettyhe@bloomberg.com,2,3.93,1.66,5.43,3,3
628,Joli,Yatman,jyatmanhf@cisco.com,1,9.31,5.57,4.76,4,20
629,Monroe,Petegre,mpetegrehg@constantcontact.com,2,7.52,9.97,5.16,1,15
630,Veda,Persey,vperseyhh@slate.com,1,5.74,8.33,8.13,4,12
631,Kelsey,Keunemann,kkeunemannhi@purevolume.com,1,2.10,8.80,,3,2
632,Phelia,Dowell,pdowellhj@gmpg.org,1,2.43,2.41,9.82,3,2
633,Jackelyn,Goodwin,jgoodwinhk@blinklist.com,1,3.45,6.99,3.91,5,1
634,Windy,Speight,wspeighthl@wikispaces.com,1,9.30,2.93,5.12,3,16
635,Gael,Ickovitz,gickovitzhm@dyndns.org,2,01.02,8.84,03.09,4,5
636,Saraann,Zarfai,szarfaihn@eepurl.com,1,8.23,9.55,,4,19
637,Julia,Rushsorth,jrushsorthho@pagesperso-orange.fr,1,3.72,8.39,2.81,4,15
638,Kristofer,McArdell,kmcardellhp@ucla.edu,2,7.71,8.74,07.09,1,19
